Country Code,Series Name,2015 [YR2015]
CRI,Exports of goods and services (% of GDP),29.99565786
CRI,Trade (% of GDP),60.75356194
CRI,Merchandise exports (current US$),9422000000
CRI,Commercial service exports (current US$),7668990925
CIV,Imports of goods and services (% of GDP),25.35962095
CIV,Exports of goods and services (% of GDP),27.35324379
CIV,Trade (% of GDP),52.71286474
CIV,Merchandise exports (current US$),11730000000
CIV,Commercial service exports (current US$),642975967.3
HRV,Imports of goods and services (% of GDP),45.2101587
HRV,Exports of goods and services (% of GDP),45.4201754
HRV,Trade (% of GDP),90.63033409
HRV,Merchandise exports (current US$),12925000000
HRV,Commercial service exports (current US$),11686327489
CUB,Imports of goods and services (% of GDP),14.46642367
CUB,Exports of goods and services (% of GDP),17.14738881
CUB,Trade (% of GDP),31.61381248
CUB,Merchandise exports (current US$),3350000000
CUB,Commercial service exports (current US$),
CUW,Imports of goods and services (% of GDP),79.81969949
CUW,Exports of goods and services (% of GDP),68.49411643
CUW,Trade (% of GDP),148.3138159
CUW,Merchandise exports (current US$),466000000
CUW,Commercial service exports (current US$),1537290503
CYP,Imports of goods and services (% of GDP),67.25912892
CYP,Exports of goods and services (% of GDP),70.01730313
CYP,Trade (% of GDP),137.2764321
CYP,Merchandise exports (current US$),3295000000
CYP,Commercial service exports (current US$),10480980277
CZE,Imports of goods and services (% of GDP),74.61688537
CZE,Exports of goods and services (% of GDP),80.55877811
CZE,Trade (% of GDP),155.1756635
CZE,Merchandise exports (current US$),1.58E+11
CZE,Commercial service exports (current US$),23256713657
DNK,Imports of goods and services (% of GDP),48.630054
DNK,Exports of goods and services (% of GDP),55.4181744
DNK,Trade (% of GDP),104.0482284
DNK,Merchandise exports (current US$),95457000000
DNK,Commercial service exports (current US$),64063656083
DJI,Imports of goods and services (% of GDP),122.9421488
DJI,Exports of goods and services (% of GDP),145.4213075
DJI,Trade (% of GDP),268.3634563
DJI,Merchandise exports (current US$),134000000
DJI,Commercial service exports (current US$),621974893.2
DMA,Imports of goods and services (% of GDP),60.46342783
DMA,Exports of goods and services (% of GDP),47.32429674
DMA,Trade (% of GDP),107.7877246
DMA,Merchandise exports (current US$),30000000
DMA,Commercial service exports (current US$),224486615.9
DOM,Imports of goods and services (% of GDP),28.40949542
